image,scanner,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
php:latest,trivy,2022-08-25 14:35:13,237,27,31,4,2,301,sha256:dacfe5971d996c3ddb26374728a7789fabc7c871a87177b2944c3eec5174dfdf
cgr.dev/chainguard/go:latest,trivy,2022-08-24 14:34:22,0,0,0,0,0,0,sha256:f981b0fccc6eeb598660065cee57f22836e3e8a4cc2cc2024280a74e906432a7
cgr.dev/chainguard/nginx:latest,trivy,2022-08-24 14:34:44,0,0,0,0,0,0,sha256:d02b5f17cae1d3937660976a95ae715ffe2b22b4ee1d0e0b46b068ecf06b8f6e
cgr.dev/chainguard/php:latest,trivy,2022-08-24 14:34:46,0,0,0,0,0,0,sha256:a8539831e66bcfca809a19064437c9f4568800162232a6355941cdd717234f43
golang:latest,trivy,2022-08-24 14:35:08,251,39,46,12,0,348,sha256:5bbf6bd42f985a710d9a918f4ddf71825fcbf651ea5ac5a54474c79650933a2d
nginx:latest,trivy,2022-08-24 14:35:22,89,13,18,4,0,124,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
php:latest,trivy,2022-08-24 14:35:28,237,27,31,4,0,299,sha256:dacfe5971d996c3ddb26374728a7789fabc7c871a87177b2944c3eec5174dfdf
cgr.dev/chainguard/go:latest,trivy,2022-08-23 14:34:13,0,0,0,0,0,0,sha256:762780fd21c00f1a1f7c40403f509776c2b6b4a78cdf10c5bcfb70cd13ec7dc0
cgr.dev/chainguard/nginx:latest,trivy,2022-08-23 14:34:36,0,0,0,0,0,0,sha256:3cb67a2d459e342a23e8c8fec2927aaae41bc3ffe18400e74bbd0a3f4523a28e
cgr.dev/chainguard/php:latest,trivy,2022-08-23 14:34:38,0,0,0,0,0,0,sha256:96b32b14a28d8c6ca83a58c3ad534cd638130b8b05e83b1652af49ffd44c61c7
golang:latest,trivy,2022-08-23 14:35:00,255,59,64,16,0,394,sha256:1860373709cc04bacfcf3bb1aaa8c14bb1243e971e9c4e70607ffa05f72466d6
nginx:latest,trivy,2022-08-23 14:35:14,89,13,18,4,0,124,sha256:f12751f46fdb727e3ef86b1cc34a81dc776572135cf794490763842fd97128ec
php:latest,trivy,2022-08-23 14:35:20,237,35,39,4,0,315,sha256:11dc0bc4a60dcb9e8ddf1afeb1ed15fd6c9bdbd4eb619394108ed586a7994af3
cgr.dev/chainguard/go:latest,trivy,2022-08-22 14:33:52,0,0,0,0,0,0,sha256:261d5c0b7222ffa7334e2b3320c9bab209effed521d48752825b31671e47c350
cgr.dev/chainguard/nginx:latest,trivy,2022-08-22 14:34:17,0,0,0,0,0,0,sha256:b40e26cbb47c85cb0e1348cae352a2c578ffc1e6056fbe7dad440db379fb15e7
cgr.dev/chainguard/php:latest,trivy,2022-08-22 14:34:20,0,0,0,0,0,0,sha256:180ab27e7de4ca375be1eb5c3ba95f77be3fc3c2680cc7199e2a911f35c7b098
golang:latest,trivy,2022-08-22 14:34:44,255,59,64,16,0,394,sha256:1860373709cc04bacfcf3bb1aaa8c14bb1243e971e9c4e70607ffa05f72466d6
nginx:latest,trivy,2022-08-22 14:34:59,89,13,21,4,0,127,sha256:790711e34858c9b0741edffef6ed3d8199d8faa33f2870dea5db70f16384df79
php:latest,trivy,2022-08-22 14:35:07,237,35,39,4,0,315,sha256:ebd3bdb934e7bbd8343cb5a15ebab85fe299215d29d658a6dcf4ac8705c300cc
cgr.dev/chainguard/go:latest,trivy,2022-08-21 14:33:18,0,0,0,0,0,0,sha256:51876372d31e37849eda78c9931062b64d794c20399b2a0c790886d3a1461817
cgr.dev/chainguard/nginx:latest,trivy,2022-08-21 14:33:41,0,0,0,0,0,0,sha256:3414c79ceba30f733ea1f8fe3c1c807558c521394b2d21c75a7082db023984ab
cgr.dev/chainguard/php:latest,trivy,2022-08-21 14:33:43,0,0,0,0,0,0,sha256:74eb3085f655f4872dd3d6d1455cb6c9fb1dabc207899ddc8d625ec5bcaeac81
golang:latest,trivy,2022-08-21 14:34:05,255,59,64,16,0,394,sha256:1860373709cc04bacfcf3bb1aaa8c14bb1243e971e9c4e70607ffa05f72466d6
nginx:latest,trivy,2022-08-21 14:34:18,89,13,21,4,0,127,sha256:790711e34858c9b0741edffef6ed3d8199d8faa33f2870dea5db70f16384df79
php:latest,trivy,2022-08-21 14:34:24,237,35,39,4,0,315,sha256:ebd3bdb934e7bbd8343cb5a15ebab85fe299215d29d658a6dcf4ac8705c300cc
cgr.dev/chainguard/go:latest,trivy,2022-08-20 14:33:25,0,0,0,0,0,0,sha256:b40826ce1b3bded73f01be0406daf87f4a7b276c72ccf3b7eb5ef07415900545
cgr.dev/chainguard/nginx:latest,trivy,2022-08-20 14:33:50,0,0,0,0,0,0,sha256:636f8f1e4012a307451c7c1673f47a5d180ffc2a788e224c2cfc3b49d2d762d8
cgr.dev/chainguard/php:latest,trivy,2022-08-20 14:33:52,0,0,0,0,0,0,sha256:6d31c5cfa4f1c1827d901039c38e020db2bd48af2d32c14ba46ebcfd48ac92ad
golang:latest,trivy,2022-08-20 14:34:15,255,59,64,16,0,394,sha256:1860373709cc04bacfcf3bb1aaa8c14bb1243e971e9c4e70607ffa05f72466d6
nginx:latest,trivy,2022-08-20 14:34:31,89,13,21,4,0,127,sha256:790711e34858c9b0741edffef6ed3d8199d8faa33f2870dea5db70f16384df79
php:latest,trivy,2022-08-20 14:34:40,237,35,39,4,0,315,sha256:ebd3bdb934e7bbd8343cb5a15ebab85fe299215d29d658a6dcf4ac8705c300cc
cgr.dev/chainguard/go:latest,trivy,2022-08-19 14:35:21,0,0,0,0,0,0,sha256:42b2af1f1efba2a1b1ca53b7cd3db8fbb957d7609fcbf81406fdf59c1aa8853d
cgr.dev/chainguard/nginx:latest,trivy,2022-08-19 14:35:43,0,0,0,0,0,0,sha256:70932f8e4f962129135a4b37585aa296769e72ba637d349a54cd90537900281d
cgr.dev/chainguard/php:latest,trivy,2022-08-19 14:35:46,0,0,0,0,0,0,sha256:22bac7b4db2b9f3c56f12eac0d5b831670eda9a9d8dd8846f62aa8feff9bc43c
golang:latest,trivy,2022-08-19 14:36:07,255,59,64,16,0,394,sha256:1860373709cc04bacfcf3bb1aaa8c14bb1243e971e9c4e70607ffa05f72466d6
nginx:latest,trivy,2022-08-19 14:36:22,89,13,21,4,0,127,sha256:790711e34858c9b0741edffef6ed3d8199d8faa33f2870dea5db70f16384df79
php:latest,trivy,2022-08-19 14:36:30,237,35,39,4,0,315,sha256:ebd3bdb934e7bbd8343cb5a15ebab85fe299215d29d658a6dcf4ac8705c300cc
cgr.dev/chainguard/go:latest,trivy,2022-08-19 14:35:21,0,0,0,0,0,0,sha256:42b2af1f1efba2a1b1ca53b7cd3db8fbb957d7609fcbf81406fdf59c1aa8853d
cgr.dev/chainguard/nginx:latest,trivy,2022-08-19 14:35:43,0,0,0,0,0,0,sha256:70932f8e4f962129135a4b37585aa296769e72ba637d349a54cd90537900281d
cgr.dev/chainguard/php:latest,trivy,2022-08-19 14:35:46,0,0,0,0,0,0,sha256:22bac7b4db2b9f3c56f12eac0d5b831670eda9a9d8dd8846f62aa8feff9bc43c
golang:latest,trivy,2022-08-19 14:36:07,255,59,64,16,0,394,sha256:1860373709cc04bacfcf3bb1aaa8c14bb1243e971e9c4e70607ffa05f72466d6
nginx:latest,trivy,2022-08-19 14:36:22,89,13,21,4,0,127,sha256:790711e34858c9b0741edffef6ed3d8199d8faa33f2870dea5db70f16384df79
php:latest,trivy,2022-08-19 14:36:30,237,35,39,4,0,315,sha256:ebd3bdb934e7bbd8343cb5a15ebab85fe299215d29d658a6dcf4ac8705c300cc
cgr.dev/chainguard/go:latest,trivy,2022-08-17 14:37:49,0,0,0,0,0,0,sha256:5b048a77ed27725e65d9990364014cc0572f617ce2c88476ee9d110672b061f2
cgr.dev/chainguard/nginx:latest,trivy,2022-08-17 14:38:14,0,0,0,0,0,0,sha256:6fd69034aaaa38f1668958f3e2af79732c0e97808cc70db1eaf3788dc8422ed3
cgr.dev/chainguard/php:latest,trivy,2022-08-17 14:38:16,0,0,0,0,0,0,sha256:331a3a7bb159e9668ee6c993ff59a71ce0aacfa49b97b182f5fc67fb24e6f507
golang:latest,trivy,2022-08-17 14:38:36,255,60,64,16,0,395,sha256:1860373709cc04bacfcf3bb1aaa8c14bb1243e971e9c4e70607ffa05f72466d6
nginx:latest,trivy,2022-08-17 14:38:52,89,13,18,4,0,124,sha256:790711e34858c9b0741edffef6ed3d8199d8faa33f2870dea5db70f16384df79
php:latest,trivy,2022-08-17 14:38:58,237,36,39,4,0,316,sha256:ebd3bdb934e7bbd8343cb5a15ebab85fe299215d29d658a6dcf4ac8705c300cc
cgr.dev/chainguard/go:latest,trivy,2022-08-16 14:34:42,0,0,0,0,0,0,sha256:cbe9e0cc46faf4a652856f83ed911c58c27b62fe125f545a3e347960f6543974
cgr.dev/chainguard/nginx:latest,trivy,2022-08-16 14:35:06,0,0,0,0,0,0,sha256:69cbee1dc3bddd1d2dd6e44dd8294f065d1c1cc3a75f7a8c70fbbaf1d827452e
cgr.dev/chainguard/php:latest,trivy,2022-08-16 14:35:09,0,0,0,0,0,0,sha256:780977e19997fc7477c183dc7241b8c4ec7d7e99e589876ad0ee212a6edfefb8
golang:latest,trivy,2022-08-16 14:35:30,255,60,64,16,0,395,sha256:1860373709cc04bacfcf3bb1aaa8c14bb1243e971e9c4e70607ffa05f72466d6
nginx:latest,trivy,2022-08-16 14:35:48,89,13,18,4,0,124,sha256:790711e34858c9b0741edffef6ed3d8199d8faa33f2870dea5db70f16384df79
php:latest,trivy,2022-08-16 14:35:57,237,36,39,4,0,316,sha256:ebd3bdb934e7bbd8343cb5a15ebab85fe299215d29d658a6dcf4ac8705c300cc
