image,scanner,scanner_version,scanner_db_version,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
nginx:latest,trivy,0.32.0,,2022-10-13 14:41:40,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
php:latest,trivy,0.32.0,,2022-10-13 14:41:48,268,41,33,1,0,343,sha256:326d53dc9e50474c77a60d0ddbefa41f5e048bce4ed30fb9ffcbd0bcb10409e2
cgr.dev/chainguard/go:latest,trivy,0.32.0,,2022-10-12 14:43:01,0,0,0,0,0,0,sha256:a39e1691d9ff873fd4b4599e6e75db3a810687a08bade327db47bd8e8e42050a
cgr.dev/chainguard/nginx:latest,trivy,0.32.0,,2022-10-12 14:43:34,0,0,0,0,0,0,sha256:738fedcd823fd010e508b16cb61dba312ec4c578e6551c37ee2b40c896a3e34f
cgr.dev/chainguard/php:latest,trivy,0.32.0,,2022-10-12 14:43:37,0,0,0,0,0,0,sha256:efa4097e91a4fa849f92902d7f4bb8be1784e09be095b9fa97070c78140d2fe7
golang:latest,trivy,0.32.0,,2022-10-12 14:44:03,286,53,51,9,1,400,sha256:25de7b6b28219279a409961158c547aadd0960cf2dcbc533780224afa1157fd4
nginx:latest,trivy,0.32.0,,2022-10-12 14:44:18,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
php:latest,trivy,0.32.0,,2022-10-12 14:44:27,268,41,32,1,1,343,sha256:326d53dc9e50474c77a60d0ddbefa41f5e048bce4ed30fb9ffcbd0bcb10409e2
cgr.dev/chainguard/go:latest,trivy,,,2022-10-11 14:41:09,0,0,0,0,0,0,sha256:b2f6d3d1c262c7c069bbff2e9bab4d7b0d85a1537d799d2de827bfa341ba2308
cgr.dev/chainguard/nginx:latest,trivy,,,2022-10-11 14:41:45,0,0,0,0,0,0,sha256:6262ea17d49441d351caf519400a91b8ad466f75a9e4d655a5c72db8c8f188e9
cgr.dev/chainguard/php:latest,trivy,,,2022-10-11 14:41:47,0,0,0,0,0,0,sha256:dd031e41ee779bd48607cc7e108a8fc2e920f4f7296c75f17aab8368fc550e74
golang:latest,trivy,,,2022-10-11 14:42:17,286,52,51,9,2,400,sha256:b850621230956a6d960d6d7cfaba6a8a2e8e245b230a928ef66aa0cfd065e229
nginx:latest,trivy,,,2022-10-11 14:42:35,93,15,13,1,0,122,sha256:2f770d2fe27bc85f68fd7fe6a63900ef7076bc703022fe81b980377fe3d27b70
php:latest,trivy,,,2022-10-11 14:42:46,268,40,32,1,2,343,sha256:326d53dc9e50474c77a60d0ddbefa41f5e048bce4ed30fb9ffcbd0bcb10409e2
cgr.dev/chainguard/go:latest,trivy,,,2022-10-10 14:43:45,0,0,0,0,0,0,sha256:3e49652170d066f8463b5195e5e7b9005fd9f16267e4ef6759034aeb1cc4eeb0
